Incident_ID,Date,Quarter,School,City,State,School_Level,During_School,Summary
20220601CAULL,2022/6/1,Summer,Ulysses S. Grant Senior High School,Los Angeles,CA,High,Yes,Student shot in front of school at dismissal
20220531LAMON,2022/5/31,Spring,Morris Jeff High School,New Orleans,LA,High,Yes,3 people shot following high school graduation
20220530CAHEL,2022/5/30,Spring,Helix High School,La Mesa,CA,High,No,Adult man shot in school parking lot
20220529ILDAC,2022/5/29,Spring,Daniel Webster Public School,Chicago,IL,Elementary,No,5 wounded when 97 shots fired in front of school.
20220526SCMEG,2022/5/26,Spring,Mevers School of Excellence,Goose Creek,SC,K-8,No,"Man fatally shot in parking lot, found by staff member"
20220526TXDUA,2022/5/26,Spring,Duff Elementary School,Arlington,TX,Elementary,Yes,Man shot himself in the leg while walking toward the school office
20220524TXROU,2022/5/24,Spring,Robb Elementary School,Uvalde,TX,Elementary,Yes,Indiscriminate attack at school
20220524DCPOW,2022/5/24,Spring,Powell Elementary School,Washington,DC,Elementary,No,Teen shot in front of the school
20220524WIRIM,2022/5/24,Spring,Riverside University High School,Milwaukee,WI,High,Yes,"Shot fired during fight inside the school, shooter fled"
20220523PASIP,2022/5/23,Spring,Simon Gratz High School,Philadelphia,PA,High,Yes,Three teen students shot at dismissal
20220520ILSOP,2022/5/20,Spring,South Elementary School,Pittsfield,IL,Elementary,Yes,Woman hallucinating on meth fired shot near school
20220520VAPOD,2022/5/20,Spring,Potomac High School,Dumfries,VA,High,Yes,"Student pointed gun at another student in bathroom, arrested by SRO with loaded weapon"
20220520TNEAC,2022/5/20,Fall,East Lake Elementary School,Chattanooga,TN,Elementary,No,Man fatally shot on school property
20220520OHCAC,2022/5/20,Spring,Canal Winchester High School,Canal Winchester,OH,High,Yes,Teen shot school bus driver 3 times with BB gun
20220520ALMAT,2022/5/20,Spring,Mary W Burroughs Elementary School,Theodore,AL,Elementary,Yes,Bullet broke classroom window
20220519LAHAH,2022/5/19,Spring,Hammond High Magnet School,Hammond,LA,High,No,Shots firing during fight that escalated following graduation ceremony
20220519MIEAK,2022/5/19,Spring,East Kentwood High School,Kentwood,MI,High,No,Drive-by shooting in the parking lot of the school following graduation
20220519VAGER,2022/5/19,Spring,George Wythe High School,Richmond,VA,High,Yes,Shots fired from a vehicle at students in the parking lot
20220518FLPAP,2022/5/18,Spring,Palmetto High School,Palmetto,FL,High,No,Shot fired during fight on sideline during football game
20220518TNRIM,2022/5/18,Spring,Riverdale High School,Murfreesboro,TN,High,No,Two people shot following high school graduation on MTSU campus
20220517ILWAC,2022/5/17,Spring,Walt Disney Magnet School,Chicago,IL,K-8,Yes,Gun inside 7-year-old students backpack fired in classroom striking classmate
20220517CASAS,2022/5/17,Spring,School Bus,San Francisco,CA,Other,Yes,School bus struck multiple times during drive-by
20220516TXMEM,2022/5/16,Spring,Mexia High School,Mexia,TX,High,Yes,"Shot fired in bathroom, suspect and loaded gun found on campus"
20220515ILMEP,2022/5/15,Spring,Meadow View Elementary School,Plainfield,IL,Elementary,No,"Teen shot on the school field, shooter fled"
20220515NHBEB,2022/5/15,Spring,Belmont Elementary School,Belmont,NH,Elementary,No,Children shot with pellet guns fired during drive-by
